Hashtag,id,screen_name,Tweet Text,URL
#InfiniteKusama,8.56798E+17,tornikqonzaziz1,"RT @mariartastic: Third times a charm, finally made it!! #infinitekusama #infinitefriens #infiniteexceptfinite https://t.co/up4hNKHsch",
#InfiniteKusama,8.56793E+17,CanonJulie,"RT @artsy: Immerse yourself in one of Yayoi Kusamaâ€™s most iconic Infinity Mirror Rooms, now on view at the @Hirshhorn. #InfiniteKusama httpâ€_",
#InfiniteKusama,8.56714E+17,zigzagzara,Finally made it _Ÿ˜_ #InfiniteKusama @hirshhorn https://t.co/KI7kK7kUrB,
#InfiniteKusama,8.56701E+17,CarynTayeh,I had my finger on the button today right at 12pm for #infinitekusama tix and still failed. MERCURY RETROGRADE.,
#InfiniteKusama,8.56686E+17,Babedeedo,LadurÃ©e and Kusama in D.C. at the same time!! I'm in heaven. #hirschhorn #infinitekusama #maisonladuree,
#InfiniteKusama,8.56679E+17,beffiedesigner,Infinite glow _ŸŒŸ #selfie #hirshhorn #illuminate #kusama #infinitekusama #glow #lights #mirrorsâ€_ https://t.co/1mgfOaSv18,https://www.instagram.com/p/BTSilUHFBl2/
#InfiniteKusama,8.56664E+17,Gothama1,Trippy times at the Infinity Mirrors exhibit at the @hirshhorn   #infinitekusama https://t.co/0XqA4z0Oo9,
#InfiniteKusama,8.56661E+17,HRHPrinceFrank,RT @hirshhorn: Happy Friday from these polka dot Princesses! _Ÿ”´â_ªï¸è_Ÿ”µ Thanks for visiting #InfiniteKusama and sharing these delightful photos!â€_,
#InfiniteKusama,8.56658E+17,HeidiLaurie,Loved this polka dot frenzy @hirshhorn #infinitekusama https://t.co/6wPtNLUmQd,
#InfiniteKusama,8.56657E+17,meganmarconyak,RT @rosaliemo: Planning a trip to see #infinitekusama #infinitymirrors? @meganmarconyak shares how to get in w/o advance tix! https://t.co/â€_,
#InfiniteKusama,8.56657E+17,rosaliemo,Planning a trip to see #infinitekusama #infinitymirrors? @meganmarconyak shares how to get in w/o advance tix! https://t.co/Z01zzz2f0U,http://bit.ly/2oF6ZPn
#InfiniteKusama,8.56642E+17,kellyskeen,Obliteration room #InfiniteKusama @ Hirshhorn Museum and Sculpture Garden https://t.co/8jb1WmpudS,https://www.instagram.com/p/BTSRbRcAlJP/
#InfiniteKusama,8.56641E+17,mykle,Spot the piano! #infinitekusama https://t.co/3aSeKbq61u,https://www.instagram.com/p/BTSRQRegxph/
#InfiniteKusama,8.5663E+17,kellyskeen,The Souls of Millions of Light Years Away #InfiniteKusama #InfinityMirrors @ Hirshhorn Museumâ€_ https://t.co/7qqX4fSEug,https://www.instagram.com/p/BTSE9uKAlwz/
#InfiniteKusama,8.56625E+17,mattinc76,This is what I see in my head while I'm at work #infinitekusama #obliterationroom https://t.co/ivSuHan6w7 https://t.co/66woOlhpIs,http://ift.tt/2oEKLwI
#InfiniteKusama,8.56624E+17,joellelevinas,"Yayoi Kusama: Infinity Mirrors #InfiniteKusama #DiscoverDC #artinwashingtondc #yayoikusamaâ€_ https://t.co/76S1l9Oabh",https://www.instagram.com/p/BTSJciND1yA/
#InfiniteKusama,8.56614E+17,divadeeelite,#InfiniteKusama #polkadot #obliteration #dotlife @ Hirshhorn Museumâ€_ https://t.co/EmWUbPfNUz,https://www.instagram.com/p/BTSE1tDgTWcdJE2YgApFEloTsxgAfOnUpxjqlo0/
#InfiniteKusama,8.56611E+17,mykle,#infinitereststop #infinitekusama https://t.co/toRHRJgAlA,https://www.instagram.com/p/BTSDVxogCwx/
#InfiniteKusama,8.5661E+17,mykle,#infinitepink #infiniteblobs #infinitedisco #infinitekusama https://t.co/45a7lKonY6,https://www.instagram.com/p/BTSDL6tAEnd/
#InfiniteKusama,8.56597E+17,Jenn_M_Brady,Awesome exhibit @hirshhorn #infinitekusama https://t.co/MabUgxYCUZ,
#InfiniteKusama,8.56597E+17,SakolpathToy,Amazing Infinity Mirror by #kusamu #washingtondc #infinitekusama You should never miss this one https://t.co/2OAyq6WRT2,
#InfiniteKusama,8.56589E+17,whitneycadams,Hottest _Ÿ_Ÿ in town and extremely grateful to snag one. (Also happy to turn off the reminder for 11:59 every Monday.)â€_ https://t.co/s1HO9oASHl,https://twitter.com/i/web/status/856588893835202561
#InfiniteKusama,8.56586E+17,Jenn_M_Brady,#infinitekusama https://t.co/kC3JEjonBc,
#InfiniteKusama,8.56577E+17,ShawnCDrury,Another Monday and still no luck on #infinitekusama tickets. Running out of time...Tix sold out in less than a minute.,
