Hashtag,id,screen_name,Tweet Text,URL,date
#InfiniteKusama,8.57001E+17,mosaicdistrict,RT @dolcezzagelato: To brighten a gloomy day: Our @mosaicdistrict manager Lauren at #infinitekusama. Photos from staff day @hirshhorn: httpâ€_,,
#InfiniteKusama,8.56997E+17,MarieMcG23,Today I had the opp to explore #infinitekusama with curator Mika Yoshitake @hirshhorn . It was a true pleasure! https://t.co/PpzYaavPkn,https://www.facebook.com/natgeotravel/videos/10154776394633992/,
#InfiniteKusama,8.56997E+17,ArtTalkHawaii,RT @hirshhorn: Advance Timed Passes for May 2-8 have been claimed. #InfiniteKusama https://t.co/laAyepU6zH,https://twitter.com/hirshhorn/status/856533448235900939,
#InfiniteKusama,8.56996E+17,LacyMB,At the @hirshhorn to finally see #InfiniteKusama and I'm so excited! _Ÿ˜± https://t.co/9AXqf2Y5HA,,
#InfiniteKusama,8.56982E+17,dolcezzagelato,To brighten a gloomy day: Our @mosaicdistrict manager Lauren at #infinitekusama. Photos from staff day @hirshhorn:â€_ https://t.co/EIp8HWytDQ,https://twitter.com/i/web/status/856982003136299008,
#InfiniteKusama,8.56978E+17,tossassnyc,The exhibit was phenomenal. I feel so fortunate to have gotten the opportunity to see this amazing work. @hirshhornâ€_ https://t.co/ZXZTLNyH92,https://twitter.com/i/web/status/856978238173831168,
#InfiniteKusama,8.56976E+17,LeoSheridan,All of the lights.... #kusama #infinitekusama https://t.co/cW7QQteJbA,,
#InfiniteKusama,8.56975E+17,__Mia__Wallace,RT @kellyskeen: Aftermath of Obliteration of Eternity #infinitekusama @hirshhorn https://t.co/AOPORjdMIT,,
#InfiniteKusama,8.56974E+17,v_hsux,#AftermathOfObliterationOfEternity âœ¨_Ÿ’«_Ÿ•¯ #YayoiKusama #èç‰é–“å_Œç”Ÿ #InfinityMirrors #InfiniteKusamaâ€_ https://t.co/Uw1drC7Xro,https://www.instagram.com/p/BTUoVYQgOZ8/,
#InfiniteKusama,8.5697E+17,aureli651,"RT @hirshhorn: Happy #WomensHistoryMonth, we're celebrating with Yayoi Kusama! Explore more: https://t.co/1TdNbYTpgQ #InfiniteKusama https:â€_",http://kusama.si.edu,
#InfiniteKusama,8.56968E+17,mrsplacedsoul,Who says DC is boring? #infinitekusama #hirshhorn #latergram @ Hirshhorn Museum and Sculptureâ€_ https://t.co/str0awSDB3,https://www.instagram.com/p/BTUltJEBlfx/,
#InfiniteKusama,8.56962E+17,cjfluker,#infinitekusama provides an infinite amount of fun! Thanks @hirshhorn for bringing this to #dc #art lovers https://t.co/FpaHYYisfx,,
#InfiniteKusama,8.56959E+17,Moniorti,"RT @hirshhorn: Thank you for visiting #InfiniteKusama, @NatGeoTravel! _ŸŒ__Ÿ_¨ Explore the exhibition via Facebook Live: https://t.co/4gZ0KQ1iZwâ€_",http://bit.ly/NGTKusama,
#InfiniteKusama,8.56949E+17,AntionetteMcMas,RT @kellyskeen: Aftermath of Obliteration of Eternity #infinitekusama @hirshhorn https://t.co/AOPORjdMIT,,
#InfiniteKusama,8.56949E+17,SusanLeeTweets,RT @hirshhorn: _Ÿ”´_Ÿ___Ÿ”µâ_ªï¸è_Ÿ_¶ #InfiniteKusama https://t.co/ozQAZT1gw4,https://twitter.com/iainlovetheatre/status/855088832714113024,
#InfiniteKusama,8.56949E+17,hirshhorn,RT @HeidiLaurie: Loved this polka dot frenzy @hirshhorn #infinitekusama https://t.co/6wPtNLUmQd,,
#InfiniteKusama,8.56949E+17,hirshhorn,RT @kellyskeen: Aftermath of Obliteration of Eternity #infinitekusama @hirshhorn https://t.co/AOPORjdMIT,,
#InfiniteKusama,8.56948E+17,hirshhorn,_Ÿ”´_Ÿ___Ÿ”µâ_ªï¸è_Ÿ_¶ #InfiniteKusama https://t.co/ozQAZT1gw4,https://twitter.com/iainlovetheatre/status/855088832714113024,
#InfiniteKusama,8.56947E+17,hirshhorn,Thanks for visiting #InfiniteKusama! âœ¨ https://t.co/VPosLhPKB5,https://twitter.com/iainlovetheatre/status/855075281572442112,
#InfiniteKusama,8.56932E+17,AROMATIC_F,"RT @artsy: Immerse yourself in one of Yayoi Kusamaâ€™s most iconic Infinity Mirror Rooms, now on view at the @Hirshhorn. #InfiniteKusama httpâ€_",,
#InfiniteKusama,8.56924E+17,funsizeflier,RT @eatlivetraveldr: There's a few weeks left to see #infinitekusama at the @hirshhorn in #WashingtonDC --&gt; https://t.co/noitaAZwAO #travelâ€_,http://bit.ly/2l0Zbp4,
#InfiniteKusama,8.56912E+17,corinne_fal,"If you don't Instagram #InfiniteKusama, did you really go to #InfiniteKusama? https://t.co/E9T3k167yT https://t.co/crqjgAOTS3",http://ift.tt/2q1w88B,
#InfiniteKusama,8.56909E+17,JaviMFernandez,#yayoikusama #hirshhornmuseum #infinitekusama #Art #WashingtonDC @ Hirshhorn Museum andâ€_ https://t.co/GXNQOxwhSZ,https://www.instagram.com/p/BTULK_ChQlE/,
#InfiniteKusama,8.56906E+17,JaviMFernandez,#infinitekusama #hirshhornmuseum #yayoikusama #Amazing #LovingIt #Art @ Hirshhorn Museum andâ€_ https://t.co/5VmOaXawCm,https://www.instagram.com/p/BTUJrxJBerW/,
#InfiniteKusama,8.56893E+17,IM_extrAVAgant,"RT @hirshhorn: Thank you for visiting #InfiniteKusama, @NatGeoTravel! _ŸŒ__Ÿ_¨ Explore the exhibition via Facebook Live: https://t.co/4gZ0KQ1iZwâ€_",http://bit.ly/NGTKusama,
#InfiniteKusama,8.56893E+17,hirshhorn,"#InfiniteKusama same-day walk-up passes have all been claimed for today, April 25. https://t.co/QVQ1ebgv1n",https://hirshhorn.si.edu/kusama/visitor-info/,
#InfiniteKusama,8.56889E+17,hirshhorn,"Thank you for visiting #InfiniteKusama, @NatGeoTravel! _ŸŒ__Ÿ_¨ Explore the exhibition via Facebook Live:â€_ https://t.co/21wK75a1fp",https://twitter.com/i/web/status/856889173126643713,
#InfiniteKusama,8.56888E+17,corinne_fal,#InfiniteKusama #InfiniteCorinne https://t.co/HDIzJsTlJM https://t.co/tNKWFbxJar,http://ift.tt/2oIA79h,
#InfiniteKusama,8.56876E+17,JaviMFernandez,Super exited I finally get to see #infinitekusama #washingtondc #hirshhornmuseum @ Hirshhornâ€_ https://t.co/dwWfE605kv,https://www.instagram.com/p/BTT8AEfBceL/,
#InfiniteKusama,8.56868E+17,abuyusup7f1tsop,RT @NAMICommunicate: The conversation around Yayoi Kusamaâ€™s artwork promotes a special kind of #mentalillness awareness #InfiniteKusama httâ€_,,
#InfiniteKusama,8.56866E+17,Laurenxomarie91,"RT @artsy: Immerse yourself in one of Yayoi Kusamaâ€™s most iconic Infinity Mirror Rooms, now on view at the @Hirshhorn. #InfiniteKusama httpâ€_",,
#InfiniteKusama,8.56864E+17,kellyskeen,Aftermath of Obliteration of Eternity #infinitekusama @hirshhorn https://t.co/AOPORjdMIT,,
#InfiniteKusama,8.5686E+17,reinaventurini,"RT @artsy: Immerse yourself in one of Yayoi Kusamaâ€™s most iconic Infinity Mirror Rooms, now on view at the @Hirshhorn. #InfiniteKusama httpâ€_",,
#InfiniteKusama,8.56848E+17,jeffers_robbie,"RT @hirshhorn: Experience Yayoi Kusama's limitless ""Infinity Mirrors"" exhibit via @CBSThisMorning https://t.co/PKvqmfQ1sG #InfiniteKusama",http://www.cbsnews.com/videos/experience-yayoi-kusamas-limitless-infinity-mirrors-exhibit,
#InfiniteKusama,8.56847E+17,kosmo_uk,"RT @artsy: Immerse yourself in one of Yayoi Kusamaâ€™s most iconic Infinity Mirror Rooms, now on view at the @Hirshhorn. #InfiniteKusama httpâ€_",,
#InfiniteKusama,8.5684E+17,ryanandsarahrtw,One last DC #tourist outing... Infinity Mirrors! 30th in line :) @hirshhorn #InfiniteKusama #Museums #Travel https://t.co/eWYP52hd3E,,
#InfiniteKusama,8.56833E+17,BluSachiko,RT @tkradio: #infinitekusama @smithsonian @hirshhorn another view... #majestic https://t.co/BbfyWyMfwI,,
#InfiniteKusama,8.56827E+17,KayzMarco,RT @rosaliemo: Planning a trip to see #infinitekusama #infinitymirrors? @meganmarconyak shares how to get in w/o advance tix! https://t.co/â€_,,
#InfiniteKusama,8.56798E+17,tornikqonzaziz1,"RT @mariartastic: Third times a charm, finally made it!! #infinitekusama #infinitefriens #infiniteexceptfinite https://t.co/up4hNKHsch",,
#InfiniteKusama,8.56793E+17,CanonJulie,"RT @artsy: Immerse yourself in one of Yayoi Kusamaâ€™s most iconic Infinity Mirror Rooms, now on view at the @Hirshhorn. #InfiniteKusama httpâ€_",,
#InfiniteKusama,8.56714E+17,zigzagzara,Finally made it _Ÿ˜_ #InfiniteKusama @hirshhorn https://t.co/KI7kK7kUrB,,
#InfiniteKusama,8.56701E+17,CarynTayeh,I had my finger on the button today right at 12pm for #infinitekusama tix and still failed. MERCURY RETROGRADE.,,
#InfiniteKusama,8.56686E+17,Babedeedo,LadurÃ©e and Kusama in D.C. at the same time!! I'm in heaven. #hirschhorn #infinitekusama #maisonladuree,,
#InfiniteKusama,8.56679E+17,beffiedesigner,Infinite glow _ŸŒŸ #selfie #hirshhorn #illuminate #kusama #infinitekusama #glow #lights #mirrorsâ€_ https://t.co/1mgfOaSv18,https://www.instagram.com/p/BTSilUHFBl2/,
#InfiniteKusama,8.56664E+17,Gothama1,Trippy times at the Infinity Mirrors exhibit at the @hirshhorn   #infinitekusama https://t.co/0XqA4z0Oo9,,
#InfiniteKusama,8.56661E+17,HRHPrinceFrank,RT @hirshhorn: Happy Friday from these polka dot Princesses! _Ÿ”´â_ªï¸è_Ÿ”µ Thanks for visiting #InfiniteKusama and sharing these delightful photos!â€_,,
#InfiniteKusama,8.56658E+17,HeidiLaurie,Loved this polka dot frenzy @hirshhorn #infinitekusama https://t.co/6wPtNLUmQd,,
#InfiniteKusama,8.56657E+17,meganmarconyak,RT @rosaliemo: Planning a trip to see #infinitekusama #infinitymirrors? @meganmarconyak shares how to get in w/o advance tix! https://t.co/â€_,,
#InfiniteKusama,8.56657E+17,rosaliemo,Planning a trip to see #infinitekusama #infinitymirrors? @meganmarconyak shares how to get in w/o advance tix! https://t.co/Z01zzz2f0U,http://bit.ly/2oF6ZPn,
#InfiniteKusama,8.56642E+17,kellyskeen,Obliteration room #InfiniteKusama @ Hirshhorn Museum and Sculpture Garden https://t.co/8jb1WmpudS,https://www.instagram.com/p/BTSRbRcAlJP/,
#InfiniteKusama,8.56641E+17,mykle,Spot the piano! #infinitekusama https://t.co/3aSeKbq61u,https://www.instagram.com/p/BTSRQRegxph/,
#InfiniteKusama,8.5663E+17,kellyskeen,The Souls of Millions of Light Years Away #InfiniteKusama #InfinityMirrors @ Hirshhorn Museumâ€_ https://t.co/7qqX4fSEug,https://www.instagram.com/p/BTSE9uKAlwz/,
#InfiniteKusama,8.56625E+17,mattinc76,This is what I see in my head while I'm at work #infinitekusama #obliterationroom https://t.co/ivSuHan6w7 https://t.co/66woOlhpIs,http://ift.tt/2oEKLwI,
