Hashtag,id,screen_name,Tweet Text,URL
#YayoiKusama,856909465244778496,JaviMFernandez,#yayoikusama #hirshhornmuseum #infinitekusama #Art #WashingtonDC @ Hirshhorn Museum and… https://t.co/GXNQOxwhSZ,https://www.instagram.com/p/BTULK_ChQlE/
#YayoiKusama,856906195289858048,JaviMFernandez,#infinitekusama #hirshhornmuseum #yayoikusama #Amazing #LovingIt #Art @ Hirshhorn Museum and… https://t.co/5VmOaXawCm,https://www.instagram.com/p/BTUJrxJBerW/
#YayoiKusama,856903297105580032,tyradsan43,#hirschhorn #YayoiKusama I'm so excited!! I've got my ticket!,
#YayoiKusama,856902187972255745,sheekisclean,#YayoiKusama https://t.co/UwpHsHz3FM,
#YayoiKusama,856901637348175874,sheekisclean,#YayoiKusama https://t.co/lWHw0yluso,
#YayoiKusama,856898727998521344,sheekisclean,"posted in the #obliterationroom by #YayoiKusama thinkin',🤔 i really got niggas i'm tryna obliterate. https://t.co/gjdXrhVDYp",
#YayoiKusama,856898000399904768,DuetGirls,Thought provoking text from the basement of the Hirshhorn museum in DC after checking out the #YayoiKusama show. https://t.co/QKuZKjXa6u,
#YayoiKusama,856893493146513409,SheyAffif,Soy de las pocas personas que logró ver la exposición ❤ #YayoiKusama  #DF https://t.co/gt3lkJhv8w,https://twitter.com/El_Universal_Mx/status/856891837050695681
#YayoiKusama,856892564196208640,AllisInWndrlnd,RT iheartSAM:ICYMI: iheartSAM is hiring temporary hosts and VSOs for #YayoiKusama exhibition. https://t.co/tw87jZ3jS9,http://bit.ly/2pmqbpD
#YayoiKusama,856891048307576832,iheartSAM,ICYMI: @iheartSAM is hiring temporary hosts and VSOs for #YayoiKusama exhibition. https://t.co/At4GzR1XZn,http://bit.ly/2pmqbpD
#YayoiKusama,856890103087714305,temposkillz,RT @sheekisclean: #YayoiKusama #infinitymirrors https://t.co/EH879yuTV1,
#YayoiKusama,856889985571729408,sheekisclean,#YayoiKusama #infinitymirrors https://t.co/EH879yuTV1,
#YayoiKusama,856887166282199040,sheekisclean,I lowkey collect and like old posters. #YayoiKusama https://t.co/vsCetWLtqc,
#YayoiKusama,856886669466890240,sheekisclean,#YayoiKusama https://t.co/LLEmWJDaky,
#YayoiKusama,856885946129756160,sheekisclean,"Kusamas work is based in conceptual art and shows some attributes of feminism,minimalism,surrealism,and abstract ex… https://t.co/n4ipiMDJNp",https://twitter.com/i/web/status/856885946129756160
#YayoiKusama,856881309070774273,massongs,"#yayoikusama #草間彌生 #GINZA
#銀座 #銀座シックス #japaneseart 
#草間彌生かぼちゃ #GSIX #ginzasix 
#アート #オブジェクト #やばい… https://t.co/nBUtf8ufNS",https://www.instagram.com/p/BTT-XiYhfW6/
#YayoiKusama,856877641919479808,kaikaikiki96,"Bianco Nero. 🍄🐼🍄🐼🍄🐼🍄🐼🍄
George Clooney ✖︎ Yayoi Kusama.  ‼️‼️

#georgeclooney #yayoikusama… https://t.co/r4nBlFDpr4",https://www.instagram.com/p/BTT8sxfBE4D/
#YayoiKusama,856876693222547460,LaurenIsTheBoss,RT @LaurenJauregui: #YayoiKusama https://t.co/2BEL67UUuB,
#YayoiKusama,856875916122886144,voiice4,"RT @Guggenheim: “Forget yourself. Become one with eternity. Become part of your environment.”—#YayoiKusama, happy birthday! https://t.co/gn…",
#YayoiKusama,856873066961543174,RaignSalazar,RT @LaurenJauregui: #YayoiKusama https://t.co/2BEL67UUuB,
#YayoiKusama,856872702472335360,cajergi,RT @LaurenJauregui: #YayoiKusama https://t.co/2BEL67UUuB,
#YayoiKusama,856870340726849536,sheekisclean,#YayoiKusama,
#YayoiKusama,856868166747783170,reinaventurini,Morning!⚪️🔴🔵 #polkaDots tenemos psychedelic tea☕️✨🇻🇪 #Venezuela #cosmos ✨#tricolor ⚪️🔵🔴🔵🔴 #obliterationroom 😍😘💋… https://t.co/AS9MSlRN5K,https://twitter.com/i/web/status/856868166747783170
#YayoiKusama,856860337219534848,Staciepayne11,RT @stevecampion_: #yayoikusama https://t.co/scw8qN5SLr,https://www.instagram.com/p/BHT9X19gx1R/
#YayoiKusama,856859145781334016,danikahn_,"#YayoiKusama Voluntarily checked herself to institution #OCD - there is an evident connection between #Art,… https://t.co/DFJ4nV5eeI",https://twitter.com/i/web/status/856859145781334016
#YayoiKusama,856852198201974785,hiroming2010,"圧巻です！
#yayoikusama #草間彌生 #草間彌生展  #国立新美術館 https://t.co/OX6pQ4PIWz",
